name,label,category,source,augmentation
Wghmare Nursng Home,MERCHANT,medical,local_pattern,augmented
Sonu Coaching,MERCHANT,education,local_pattern,original
Shree Tyre House,MERCHANT,auto,local_pattern,original
More_Consultants,MERCHANT,professional,local_pattern,augmented
Dinesh Communicati,MERCHANT,electronics,local_pattern,augmented
Maa Lakshmig Gadgets,MERCHANT,electronics,local_pattern,augmented
Kamath/Silver/House,MERCHANT,jewellery,local_pattern,augmented
Parvati-Steel,MERCHANT,hardware,local_pattern,augmented
Al Ameen Curtains,MERCHANT,furniture,local_pattern,original
Cheem***,MERCHANT,professional,local_pattern,augmented
GraceSilverHouse,MERCHANT,jewellery,local_pattern,augmented
Verma Computers,MERCHANT,electronics,local_pattern,original
Suresh rasp,MERCHANT,travel,local_pattern,augmented
Rastogi Two Wheeler,MERCHANT,auto,local_pattern,original
Babu AC Service,MERCHANT,electronics,local_pattern,original
Kumar Surgical,MERCHANT,medical,local_pattern,original
Chintu Interior,MERCHANT,professional,local_pattern,original
Vishnu Taailor,MERCHANT,clothing,local_pattern,augmented
Model Paints,MERCHANT,hardware,local_pattern,original
Munnna Tyres,MERCHANT,auto,local_pattern,augmented
PAY-Rahul Public School,MERCHANT,education,local_pattern,augmented
Rahul Furnishing,MERCHANT,furniture,local_pattern,original
Raju Ka***,MERCHANT,local_shop,desi_pattern,augmented
Son Sar Hou,MERCHANT,clothing,local_pattern,augmented
Rahdey Hardware,MERCHANT,hardware,local_pattern,augmented
ael Advisory,MERCHANT,professional,local_pattern,augmented
Sharma Golgappa Zone,MERCHANT,local_shop,desi_pattern,original
Joshi.Digital.Studio,MERCHANT,stationery,local_pattern,augmented
Glo Wor,MERCHANT,auto,local_pattern,augmented
Pathan Tuit...,MERCHANT,education,local_pattern,augmented
IMPS-Kalyan Jewellers,MERCHANT,fashion,real_brand,augmented
Naidu/Eye/Clinic,MERCHANT,medical,local_pattern,augmented
Pav***,MERCHANT,restaurant,local_pattern,augmented
Progress  Hardware  Store,MERCHANT,hardware,local_pattern,augmented
Tau-Cloth-Store,MERCHANT,clothing,local_pattern,augmented
NEFT-Spencer's,MERCHANT,grocery_retail,real_brand,augmented
UPI-Subham Kitchen,MERCHANT,furniture,local_pattern,augmented
Hope Tourism,MERCHANT,travel,local_pattern,original
Faith Kirana,MERCHANT,local_shop,local_pattern,original
Jai Ganesh Fuel Statioon,MERCHANT,fuel,local_pattern,augmented
Dvya Damond,MERCHANT,jewellery,local_pattern,augmented
DurgaManufacturing,MERCHANT,local_shop,local_pattern,augmented
Divya General Store,MERCHANT,local_shop,local_pattern,original
PAY-Mangal Mobiles,MERCHANT,electronics,local_pattern,augmented
GillAdvisory,MERCHANT,professional,local_pattern,augmented
Mohit Chartreed Accountants,MERCHANT,professional,local_pattern,augmented
YogaKart,MERCHANT,other_merchant,synthetic,original
PAY-Rekha Photo Studio,MERCHANT,stationery,local_pattern,augmented
rganic  Couier,MERCHANT,travel,local_pattern,augmented
IMPS-Kaka LPG Gas,MERCHANT,fuel,local_pattern,augmented
Raheem-CA-Firm,MERCHANT,professional,local_pattern,augmented
Sunshine Cargo,MERCHANT,travel,local_pattern,original
Popular Maqrt,MERCHANT,local_shop,local_pattern,augmented
Ashok-Saree-Centre,MERCHANT,clothing,local_pattern,augmented
Jai_Hanuman_Clinic,MERCHANT,medical,local_pattern,augmented
Gjolden Ortho Clinic,MERCHANT,medical,local_pattern,augmented
Rahuul Timber,MERCHANT,hardware,local_pattern,augmented
Yoegesh Fruit Wala,MERCHANT,local_shop,desi_pattern,augmented
Bisht Phharmacy,MERCHANT,medical,local_pattern,augmented
MahadevNursingHome,MERCHANT,medical,local_pattern,augmented
P2P-Munna Garage,MERCHANT,auto,local_pattern,augmented
Bedi Aquarium ZXU,MERCHANT,local_shop,local_pattern,augmented
Sunil Hmoe Decor,MERCHANT,furniture,local_pattern,augmented
Sunshine Saree Emporium,MERCHANT,clothing,local_pattern,original
Dominos Pizza SJK,MERCHANT,restaurant,real_brand,augmented
Jai  Durga  Silk  House,MERCHANT,clothing,local_pattern,augmented
Al Kabi Elec,MERCHANT,hardware,local_pattern,augmented
Tayyab Herbal..,MERCHANT,salon,local_pattern,augmented
Verma Cargo,MERCHANT,travel,local_pattern,original
Fortune & Cmopany,MERCHANT,local_shop,local_pattern,augmented
Randhawa Hotel-499,MERCHANT,restaurant,local_pattern,augmented
Wihte Photo Lab,MERCHANT,stationery,local_pattern,augmented
Vaishno Printing P,MERCHANT,stationery,local_pattern,augmented
Chavan Medical Agecny,MERCHANT,medical,local_pattern,augmented
Khalas Fitness,MERCHANT,local_shop,local_pattern,augmented
