name,label,gender,region,format
Gowda Varun,PERSON,male,kannada,lastname_firstname
Gomti,PERSON,female,rajasthani,firstname_only
Malaichamy Dolores,PERSON,female,christian,lastname_firstname
J Chatterjee,PERSON,female,bengali,initial_lastname
jyotirmayee dash,PERSON,female,odia,lower
Balamurugan Kalpana,PERSON,female,tamil,lastname_firstname
SAVITRI MUKHERJEE,PERSON,female,bengali,upper
I Ojha,PERSON,female,hindi,initial_lastname
Subbulakshmi I,PERSON,female,tamil,firstname_initial
KHETARAM RATHORE,PERSON,male,rajasthani,upper
kalawati sahu,PERSON,female,hindi,lower
Kodali Uma,PERSON,female,telugu,lastname_firstname
Daga Ladu,PERSON,female,rajasthani,lastname_firstname
Rupa Tara Zaveri,PERSON,female,gujarati,three_part
EBORMI KHASI,PERSON,male,northeast,upper
Jangra Indra,PERSON,female,hindi,lastname_firstname
PADMANABH DHAWAN,PERSON,male,jain,upper
NAROTTAM REBARI,PERSON,male,rajasthani,upper
Fateh Bist,PERSON,male,rajasthani,firstname_lastname
KHETARAM TELI,PERSON,male,rajasthani,upper
Bhosale Sunanda,PERSON,female,marathi,lastname_firstname
S K Kodali,PERSON,female,telugu,initials_lastname
PRISCILLA SOLOMON,PERSON,female,christian,upper
Yoganathan Duraipandi,PERSON,male,tamil,lastname_firstname
Kanan D,PERSON,female,bengali,firstname_initial
Arunima L,PERSON,female,odia,firstname_initial
Tahmina B,PERSON,female,muslim,firstname_initial
Mane Mahadev,PERSON,male,marathi,lastname_firstname
Rampur Nazima,PERSON,female,muslim,lastname_firstname
P Sau,PERSON,female,bengali,initial_lastname
Percy Sivadasan,PERSON,male,christian,firstname_lastname
Zubaida S,PERSON,female,malayalam,firstname_initial
parvez nagarwala,PERSON,male,parsi,lower
Sarah,PERSON,female,christian,firstname_only
Kaushik Durga,PERSON,female,rajasthani,lastname_firstname
Sangita Paramanik,PERSON,female,assamese,firstname_lastname
Sangha Fateh,PERSON,male,punjabi,lastname_firstname
jaloo mistry,PERSON,female,parsi,lower
PARVEEN AZMI,PERSON,female,muslim,upper
Spenta A,PERSON,female,parsi,firstname_initial
Reang Sapam,PERSON,male,northeast,lastname_firstname
Meitei Manglem,PERSON,male,northeast,lastname_firstname
gurpal nijjar,PERSON,male,punjabi,lower
M Sastry,PERSON,male,telugu,initial_lastname
Abraham Deepa,PERSON,female,malayalam,lastname_firstname
Puttaswamy P,PERSON,male,kannada,firstname_initial
S K Balyan,PERSON,female,jain,initials_lastname
Saraiya Mangalben,PERSON,female,jain,lastname_firstname
Debbarma Lakyrsiew,PERSON,female,northeast,lastname_firstname
gulaab kunwar,PERSON,female,hindi,lower
ratan mehra,PERSON,male,rajasthani,lower
Munira Naqvi,PERSON,female,muslim,firstname_lastname
C Senapati,PERSON,male,odia,initial_lastname
JAMILA HAMDANI,PERSON,female,muslim,upper
Bharwad Shobhna,PERSON,female,gujarati,lastname_firstname
PARVATHY JAN JOHN,PERSON,female,malayalam,three_part_upper
MEHERNOSH MOTIWALA,PERSON,male,parsi,upper
Jayachandran Wahab,PERSON,male,malayalam,lastname_firstname
MEHER DEOBANDI,PERSON,female,muslim,upper
Dolores A,PERSON,female,christian,firstname_initial
PURUSHOTTAM NAYAK,PERSON,male,odia,upper
ATUL ATRE,PERSON,male,marathi,upper
Prasad Kaushik,PERSON,male,telugu,lastname_firstname
Iqbal,PERSON,male,punjabi,firstname_only
Azra Sarla Haider,PERSON,female,muslim,three_part
Moazzam G,PERSON,male,muslim,firstname_initial
Tessy E,PERSON,female,malayalam,firstname_initial
Vignesh,PERSON,male,tamil,firstname_only
Leslie John,PERSON,male,christian,firstname_lastname
Hannah,PERSON,female,christian,firstname_only
percy singha,PERSON,male,christian,lower
Maheswari K,PERSON,female,tamil,firstname_initial
HITESH MANDAL,PERSON,male,assamese,upper
Madhu K,PERSON,male,kannada,firstname_initial
Raosaheb Kale,PERSON,male,marathi,firstname_lastname
Louis Chinnadurai,PERSON,male,christian,firstname_lastname
purvi mehta,PERSON,female,gujarati,lower
W Beg,PERSON,male,muslim,initial_lastname
Hiralal,PERSON,male,jain,firstname_only
thankam ravindranath,PERSON,female,malayalam,lower
B Gunturi,PERSON,female,telugu,initial_lastname
Gupte Chandrakant,PERSON,male,marathi,lastname_firstname
Shankarlal,PERSON,male,rajasthani,firstname_only
Danish B,PERSON,male,muslim,firstname_initial
Perveen D,PERSON,female,parsi,firstname_initial
Ghadiali Dilnavaz,PERSON,female,parsi,lastname_firstname
Damyanti Saraswat,PERSON,female,jain,firstname_lastname
rosalind raha,PERSON,female,christian,lower
MANISHA DANDAPAT,PERSON,female,bengali,upper
Hansi K,PERSON,female,rajasthani,firstname_initial
Minocher I,PERSON,male,parsi,firstname_initial
Satyanarayan K,PERSON,male,rajasthani,firstname_initial
K Kalsi,PERSON,male,hindi,initial_lastname
Y N Modukuri,PERSON,male,telugu,initials_lastname
Sita,PERSON,female,odia,firstname_only
RAUSHAN TONKI,PERSON,female,muslim,upper
G Marndi,PERSON,male,odia,initial_lastname
Mewati Sitara,PERSON,female,muslim,lastname_firstname
MAHADEVA MANAGULI,PERSON,male,kannada,upper
JASKIRAN BATH,PERSON,female,punjabi,upper
owen bansal,PERSON,male,christian,lower
Sarasi B,PERSON,female,bengali,firstname_initial
Sarojini M,PERSON,female,tamil,firstname_initial
Ilyas Warsi,PERSON,male,muslim,firstname_lastname
Desai Gayatri,PERSON,female,gujarati,lastname_firstname
Amandeep Sita Kapoor,PERSON,female,punjabi,three_part
ANGOM GURUNG,PERSON,female,northeast,upper
Saleem,PERSON,male,muslim,firstname_only
Natalie,PERSON,female,christian,firstname_only
DEVEN PARMAR,PERSON,male,gujarati,upper
mannu balyan,PERSON,female,hindi,lower
Gulabchand D,PERSON,male,jain,firstname_initial
V Babu,PERSON,male,malayalam,initial_lastname
Zaidi Habiba,PERSON,female,muslim,lastname_firstname
B Ruparel,PERSON,male,gujarati,initial_lastname
Parimala,PERSON,female,tamil,firstname_only
Mahesh Elias,PERSON,male,malayalam,firstname_lastname
ZERVAAN SIDHWA,PERSON,male,parsi,upper
rukmani rajput,PERSON,female,rajasthani,lower
Hassan S,PERSON,male,muslim,firstname_initial
P Raychaudhuri,PERSON,male,bengali,initial_lastname
Udawat Rajulben,PERSON,female,jain,lastname_firstname
Bharathi P,PERSON,female,telugu,firstname_initial
Rakesh M,PERSON,male,gujarati,firstname_initial
V Panag,PERSON,female,punjabi,initial_lastname
Mita J,PERSON,female,odia,firstname_initial
SATISH SOLANKI,PERSON,male,gujarati,upper
Nariman Rustomji,PERSON,female,parsi,lastname_firstname
Trilok,PERSON,male,hindi,firstname_only
A Siddiqi,PERSON,male,muslim,initial_lastname
tanuja byndoor,PERSON,female,kannada,lower
RANGASWAMY BYAHATTI,PERSON,male,kannada,upper
joginder shergill,PERSON,male,punjabi,lower
