name,label,gender,region,format,augmentation,original_name
T G Subramaniam,PERSON,male,malayalam,initials_lastname,original,T G Subramaniam
HEEA WATI VISO,PERSON,female,rajasthani,three_part_upper_char_drop+char_drop,char_drop+char_drop,HEERA WATI VISHNOI
R Chatt..,PERSON,male,assamese,initial_lastname_partial_masked,partial_masked,R Chattopadhyay
JerbaiS,PERSON,female,parsi,firstname_initial_no_spaces,no_spaces,Jerbai S
N Chawl,PERSON,male,punjabi,initial_lastname_vowel_drop,vowel_drop,N Chawla
NANDITA GARO,PERSON,female,assamese,upper,original,NANDITA GARO
BHEEKHAM SUNDER CHOUHAN,PERSON,male,rajasthani,three_part_upper,original,BHEEKHAM SUNDER CHOUHAN
lalitha challagundla,PERSON,female,telugu,lower,original,lalitha challagundla
Boro Ebor,PERSON,male,northeast,lastname_firstname_abbreviated,abbreviated,Boro Ebormi
Ratnsh,PERSON,male,hindi,firstname_only_vowel_drop,vowel_drop,Ratnesh
Nand...,PERSON,female,assamese,lastname_firstname_partial_masked,partial_masked,Nandi Sumitra
Nimes p,PERSON,male,gujarati,firstname_initial_phonetic_sub,phonetic_sub,Nimesh P
ashwin joshi,PERSON,male,gujarati,lower,original,ashwin joshi
V Tenali,PERSON,male,telugu,initial_lastname,original,V Tenali
Bhandrai Norman,PERSON,male,christian,lastname_firstname_typo_swap,typo_swap,Bhandari Norman
P Gajjar-167,PERSON,female,gujarati,initial_lastname_suffix_noise,suffix_noise,P Gajjar
Vasantha Oruganti-625,PERSON,female,telugu,firstname_lastname_suffix_noise,suffix_noise,Vasantha Oruganti
nicholas senthilkumar,PERSON,male,christian,lower,original,nicholas senthilkumar
Rhu,PERSON,male,hindi,firstname_only_char_drop,char_drop,Rahul
Mnohar J,PERSON,male,rajasthani,firstname_initial_vowel_drop,vowel_drop,Manohar J
Pkuhrambam K,PERSON,female,northeast,firstname_initial_typo_swap,typo_swap,Pukhrambam K
Neela R,PERSON,female,gujarati,firstname_initial,original,Neela R
GANPATRAO JAGAT PHANSE-8341,PERSON,male,marathi,three_part_upper_suffix_noise,suffix_noise,GANPATRAO JAGAT PHANSE
INDRA WERMA,PERSON,female,hindi,upper_phonetic_sub,phonetic_sub,INDRA VERMA
ddarab cama,PERSON,male,parsi,lower_char_repeat,char_repeat,darab cama
Acharya/Joydeb,PERSON,male,bengali,lastname_firstname_space_replaced,space_replaced,Acharya Joydeb
SAGAR UPADHYAY,PERSON,female,rajasthani,upper,original,SAGAR UPADHYAY
G Kom,PERSON,female,assamese,initial_lastname,original,G Kom
Sri sarat gadnayak,PERSON,male,odia,lower_double_merge+prefix_noise,double_merge+prefix_noise,sarat gadnayak
V Mudaliar,PERSON,female,tamil,initial_lastname,original,V Mudaliar
RADIKA mADHAWAN,PERSON,female,malayalam,upper_phonetic_sub,phonetic_sub,RADHIKA MADHAVAN
neethu dvid,PERSON,female,malayalam,lower_char_drop,char_drop,neethu david
Daljeet Malti Kanwar-6674,PERSON,female,punjabi,three_part_suffix_noise,suffix_noise,Daljeet Malti Kanwar
Lakhvir Harjeet,PERSON,female,punjabi,lastname_firstname,original,Lakhvir Harjeet
Trevor   G,PERSON,male,christian,firstname_initial_extra_spaces,extra_spaces,Trevor G
Malemngamba Konyak,PERSON,male,northeast,firstname_lastname,original,Malemngamba Konyak
wahab raman,PERSON,male,malayalam,lower,original,wahab raman
Kamal-Khambata,PERSON,female,parsi,firstname_lastname_space_replaced,space_replaced,Kamal Khambata
NEFT-Kalpana Jagdev,PERSON,female,odia,firstname_lastname_prefix_noise,prefix_noise,Kalpana Jagdev
Shri Faizabadi Azeem,PERSON,male,muslim,lastname_firstname_prefix_noise,prefix_noise,Faizabadi Azeem
P Hmbram,PERSON,male,bengali,initial_lastname_char_drop,char_drop,P Hembram
Senthil,PERSON,male,tamil,firstname_initial_first_name_only,first_name_only,Senthil A
